name,parent,year,typeface,author,country,type,text,historical_movement,font_name
OS,,,,,,movement,"The Open Source Type movement began in the 1990s and now boasts it's own foundaries and over 5,000 typefaces. They believe in making typography an accesible field by providing free typefaces beginners can learn from. The movement became increasingly popular when web browsers started allowing developers to use embedded fonts rather than select from a small list of web fonts. I used open source fonts extensively in this project for the movement titles.",The Open Source Movement,
Fraktur,Black-Letter,1515,,,Germany,movement,"Antiqua and Fraktur were the most common German typefaces and were traditionally used for different texts. This changed in 1806 following the dissolution of the Holy Roman Empire and the emphasis of nationalist German cultural values in the area of deisgn. Antiqua at this time was deemed ""un-German"" while the depth and seriousness of Fraktur exemplified classical German virtues. This debate continued into the 20th century when the Nazi party used Fraktur in their writing until the Ministry of Propaganda decided German-occupied countries had difficulty understanding Fraktur. Thus, Antiqua became popular for the Nazis and Fraktur was outlawed.",Antiqua-Fraktur Debate,Fraktur
Schwabacher,Black-Letter,1472,,,Germany,movement,,,
Textualis,Black-Letter,1455,Gutenberg,,Germany,movement,,,
Antiqua,Black-Letter,1470,,,Germany,movement,,,
Officina,Slab-Serif,1990,,Erik Spiekermann,Germany,typeface,,,
Interstate,Neo-grotesque,1993,,Tobias Frere-Jones,US,typeface,,,
Thesis,Humanist,1994,,Lucas de Groot,Germany,typeface,,,
Meta,Humanist,1991,,Erik Spiekermann,Germany,typeface,,,
TrinitŽ,Humanist,1982,,Bram De Does,Netherlands,typeface,,,
DIN,Sans-Serif,1926,,Ludwig Goller,Germany,typeface,,,
Matrix,Didone-Serif,1986,,Zuzana Licko,US,typeface,,,
OCR,Sans-Serif,1965,,American Type Founders,US,typeface,,,
Avant Garde,Geometric,1968,,Herb Lubalin,US,typeface,,,
Lucida,Humanist,1985,,Chris Holmes / Charles Bigelow,US,typeface,,,
Zapfino,Script,1998,,Hermann Zapf,US,typeface,,,
Letter Gothic,Humanist,1956,,Roger Roberson,US,typeface,,,
Stone,Humanist,1987,,Sumner Stone,US,typeface,,,
Arnhem,Transitional-Serif,1998,,Fred Smeijers,Netherlands,typeface,,,
Minion,Oldstyle-Serif,1990,,Robert Slimbach,US,typeface,,,
Les grecs du roiÊ,Oldstyle-Serif,1541,,Claude Garamond,France,typeface,,,
Rotis,Humanist,1988,,Olt Aicher,Germany,typeface,,,
Scala,Humanist,1991,,Martin Majoor,Netherlands,typeface,,,
Syntax,Humanist,1968,,Hans Eduard Meier,Swiss,typeface,,,
Joanna,Transitional-Serif,1930,,Eric Gill,US,typeface,,,
Fleishmann,Slab-Serif,1997,,Erhard Kaiser,Netherlands,typeface,,,
Palatino,Oldstyle-Serif,1950,,Hermann Zapf,US,typeface,,,
Fedra,Humanist,2002,,Peter Bil'ak,Netherlands,typeface,,,
Lexicon,Oldstyle-Serif,1992,,Bram De Does,Netherlands,typeface,,,
Hands,Script,1991,,Letterror,Netherlands,typeface,,,
Metro,Humanist,1929,,W. A. Dwiggins,US,typeface,,,
Formata,Humanist,1984,,Bernd MšllenstŠdt,Germany,typeface,,,
Caslon,Transitional-Serif,1725,,William Caslon,UK,typeface,,,
Cooper Black,Oldstyle-Serif,1920,,Oswald B. Cooper,US,typeface,,,
Peignot,Sans-Serif,1937,,A. M. Cassandre,France,typeface,,,
Bell Gothic,Grotesque,1938,,Chauncey H. Griffith,US,typeface,,,
Antique Olive,Humanist,1962,,Roger Excoffon,France,typeface,,,
Wilhelm Klingspor Gotisch,Black-Letter,1926,,Rudolf Koch,Germany,typeface,,,
Info,Neo-grotesque,1996,,Erik Spiekermann,Germany,typeface,,,
Dax,Humanist,1995,,Hans Reichel,Germany,typeface,,,
Proforma,Oldstyle-Serif,1988,,Petr van Blokland,Netherlands,typeface,,,
Today Sans,Humanist,1988,,Volker KŸster,Germany,typeface,,,
Prokyon,Neo-grotesque,2002,,Erhard Kaiser,Netherlands,typeface,,,
Trade Gothic,Grotesque,1948,,Jackson Burke,US,typeface,,,
Swift,Didone-Serif,1987,,Gerard Unger,Netherlands,typeface,,,
Copperplate Gothic,Grotesque,1901,,Frederic W. Goudy,US,typeface,,,
Blur,Neo-grotesque,1992,,Neville Brody,UK,typeface,,,
Base,Didone-Serif,1995,,Zuzana Licko,US,typeface,,,
Bell Centennial,Neo-grotesque,1978,,Matthew Carter,US,typeface,,,
Avenir,Geometric,1988,,Adrian Frutiger,US,typeface,,,
Bernhard Modern,Serif,1937,,Lucian Bernhard,US,typeface,,,
Amplitude,Grotesque,2003,,Christian Schwartz,US,typeface,,,
Trixie,Serif,1991,,Erik van Blokland,Netherlands,typeface,,,
Quadrat,Oldstyle-Serif,1992,,Fred Smeijers,Netherlands,typeface,,,
Neutraface,Geometric,2002,,Christian Schwartz,US,typeface,,,
Nobel,Geometric,1929,,Sjoerd de Roos,Netherlands,typeface,,,
Industria,Neo-grotesque,1990,,Neville Brody,UK,typeface,,,
Bickham Script,Script,1997,,Richard Lipton,US,typeface,,,
Corporate ASE,Slab-Serif,1989,,Kurt Weidemann,Germany,typeface,,,
Fago,Humanist,2000,,Ole Schafer,Germany,typeface,,,
Kabel,Geometric,1927,,Rudolf Koch,Germany,typeface,,,
House Gothic 23,Neo-grotesque,1995,,Tal Leming,US,typeface,,,
Kosmik,Neo-grotesque,1993,,Erik van Blokland,Netherlands,typeface,,,
Caecilia,Slab-Serif,1990,,Peter Matthias Noordzij,Netherlands,typeface,,,
Reporter,Script,1938,,Carlos Winkow,Germany,typeface,,,
Gothic No. 13,Scotch-Roman,1856,,Linotype,US,typeface,,,
Bell,Transitional-Serif,1788,,Richard Austin,UK,typeface,,,
Bulmer,Transitional-Serif,1790,,William Martin,US,typeface,,,
Caslon Antique/Fifteenth Century,Serif,1894,,Berne Nadall,US,typeface,,,
Cheltenham,Transitional-Serif,1896,,ÊBertram GoodhueÊandÊIngalls Kimball,US,typeface,,,
